"The","ng ","he "," th","ent","ion"," of","ed ","in "," an","the","on ","ing","tio","of ","nd ","and"," in","er ","an "," co","es ","al ","re ","s a","as "," a "," is","or ","is ","qualityClass"
7,13,43,44,8,12,22,22,11,16,45,13,10,10,23,21,14,15,7,2,5,11,13,2,8,5,5,4,4,10,5
41,125,293,376,48,68,116,179,82,162,322,81,145,47,122,143,149,109,80,26,58,47,48,64,66,97,69,19,73,27,5
17,28,68,76,19,17,39,89,28,40,102,39,36,16,44,37,44,33,32,10,27,11,17,20,15,47,25,1,15,31,5
27,55,127,169,30,51,77,95,62,73,143,37,39,27,56,116,97,88,32,8,46,65,38,52,54,48,38,25,37,57,5
15,27,83,89,16,37,28,45,30,34,77,24,18,34,30,47,46,38,20,24,13,14,18,13,13,23,11,9,8,11,5
13,25,125,129,52,71,63,58,26,56,122,52,44,35,64,60,68,52,33,15,25,36,42,24,32,22,31,6,14,16,5
37,78,201,211,71,56,78,127,45,100,211,69,81,60,84,156,161,74,57,37,64,49,62,60,39,43,59,27,43,38,5
8,37,68,80,25,23,32,50,14,37,75,27,51,16,31,41,33,44,27,44,34,29,16,14,31,16,23,12,11,17,5
18,60,175,206,23,25,59,57,58,83,194,45,73,27,82,80,76,67,31,16,27,79,9,41,35,29,47,19,20,25,5
2,9,32,40,9,6,19,19,13,11,41,17,12,10,17,11,25,13,3,7,8,14,6,6,8,9,7,10,0,6,5
7,22,56,69,17,33,37,44,12,17,65,26,20,30,30,17,21,33,8,14,23,25,16,20,20,18,19,9,22,23,5
10,26,80,106,12,25,39,51,20,31,80,34,37,11,34,28,36,17,24,10,26,16,22,10,13,23,28,3,8,12,5
8,19,54,81,14,29,33,24,16,34,59,21,22,24,46,18,19,24,12,15,22,11,20,12,16,9,17,12,29,16,5
0,1,9,5,2,7,5,2,4,6,7,1,1,3,3,9,5,2,3,8,8,4,0,2,1,1,0,0,3,2,5
16,45,96,144,40,52,72,83,64,64,96,32,44,42,63,64,58,74,35,22,64,39,37,34,43,29,34,38,34,36,5
16,20,106,107,8,22,37,52,35,47,77,36,26,26,30,36,40,43,28,4,20,7,39,19,12,35,21,4,12,5,5
16,38,131,148,44,137,60,45,36,54,139,90,57,132,67,44,44,62,33,27,52,33,42,36,43,22,36,50,32,71,5
19,45,80,87,22,9,42,48,56,43,99,15,49,19,57,38,51,43,45,8,17,31,10,20,18,40,28,37,11,30,5
3,5,24,31,3,3,15,10,5,8,18,3,5,3,7,7,8,8,4,7,3,4,2,6,4,5,3,0,5,0,5
12,30,115,169,18,35,86,45,21,29,116,23,31,21,73,18,20,41,37,19,46,33,20,25,19,19,42,24,13,27,5
10,22,49,60,8,22,16,31,18,18,33,16,14,13,12,29,19,30,13,6,16,15,10,12,12,9,9,4,12,11,5
11,8,33,31,12,10,9,23,5,13,26,12,11,9,12,6,4,17,9,9,6,8,6,7,6,6,4,0,5,1,5
13,18,64,67,15,15,13,27,22,27,73,25,11,20,16,43,22,33,20,8,13,16,8,8,15,14,19,8,19,6,5
5,19,60,65,15,17,39,68,23,33,72,9,32,8,30,42,35,32,38,12,18,7,6,15,15,42,13,0,7,20,5
23,30,129,150,24,36,58,64,39,60,134,41,41,22,40,57,59,46,46,12,39,32,15,36,20,35,31,0,20,10,5
51,97,285,261,69,153,167,152,106,146,285,98,89,97,191,168,165,149,68,99,91,53,77,79,72,57,44,51,36,33,5
19,22,83,75,14,24,23,44,11,33,70,29,17,20,22,28,34,26,34,16,32,13,19,27,18,23,10,5,13,10,5
10,51,127,123,19,17,33,77,23,47,112,50,63,15,38,57,51,30,40,15,23,20,9,17,20,30,26,8,14,17,5
61,73,284,288,46,58,142,136,102,140,258,46,82,39,129,141,122,117,66,57,52,72,53,58,73,68,56,43,33,66,5
1,12,17,16,3,4,4,13,10,8,20,13,5,2,6,6,9,9,10,4,6,3,3,3,6,4,1,1,2,4,5
18,22,98,81,22,34,52,57,34,48,81,19,27,21,38,43,45,40,24,26,18,19,28,19,17,40,19,24,17,30,5
9,10,20,28,5,7,8,11,7,7,14,5,5,3,9,7,6,9,5,6,4,6,5,0,3,8,7,6,2,7,5
5,3,16,30,3,7,8,27,9,11,17,3,8,2,11,8,8,20,13,3,10,16,3,4,4,8,8,3,1,6,5
3,10,28,24,12,7,15,16,6,15,22,4,8,4,12,8,8,7,4,4,5,7,4,3,5,5,9,7,2,5,5
18,61,141,164,23,48,38,82,34,69,128,30,67,37,58,59,73,68,28,31,39,14,27,17,27,35,29,2,17,12,5
2,7,13,18,4,5,6,21,7,11,23,14,9,7,10,9,6,14,7,6,4,4,6,1,4,14,9,0,4,2,5
59,182,452,475,109,179,209,303,210,227,466,130,171,110,199,245,259,254,126,147,108,119,83,99,77,98,93,7,61,13,5
7,13,25,34,4,6,6,16,10,21,34,7,16,9,7,18,22,10,13,10,10,9,8,4,11,5,16,11,6,10,5
12,37,81,83,12,13,23,44,16,46,78,10,45,14,23,46,42,30,31,20,18,11,15,22,19,20,21,11,13,15,5
7,24,78,84,9,21,51,29,29,53,61,16,30,21,43,44,40,42,36,12,12,33,10,19,16,12,25,9,12,22,5
15,34,106,111,32,34,34,52,35,54,103,31,29,24,33,43,54,49,34,6,24,22,16,24,21,36,12,4,14,12,5
5,15,55,32,10,14,33,45,34,30,53,18,17,7,25,36,36,22,20,10,8,9,7,12,21,23,12,6,7,27,5
9,7,28,23,9,9,17,18,13,24,24,9,7,7,9,9,14,24,10,1,14,8,3,9,9,7,9,5,3,7,5
1,20,60,57,9,9,28,21,16,24,44,12,22,8,17,28,26,22,12,11,11,17,7,12,14,21,12,4,8,7,5
7,21,39,46,10,16,12,19,18,17,45,20,15,13,15,21,17,34,8,8,8,9,4,5,12,14,11,2,6,6,5
38,57,204,204,79,100,129,96,81,112,178,65,61,65,105,97,96,102,58,30,49,49,48,26,52,37,39,23,44,23,5
14,9,64,50,7,22,34,32,30,36,56,12,20,8,26,51,42,31,18,11,12,14,17,18,20,22,18,14,7,16,5
6,23,48,58,11,8,21,25,19,14,53,9,10,11,15,31,16,19,31,1,6,5,9,9,12,13,9,0,2,7,5
45,83,328,315,80,134,194,137,115,156,298,68,84,89,149,149,160,183,75,56,77,68,111,66,72,92,40,50,58,53,5
1,9,30,40,12,29,18,26,8,18,42,21,8,34,30,14,16,18,9,5,5,20,12,11,20,14,6,12,4,13,5
3,8,9,13,7,9,1,9,11,10,7,4,7,7,3,9,5,12,7,5,5,6,2,6,8,3,5,6,4,3,5
6,34,87,101,4,26,31,52,29,31,75,32,44,9,20,33,24,30,31,7,9,15,0,9,10,21,22,9,13,15,5
14,39,114,136,36,38,79,79,51,65,107,24,75,26,64,58,99,64,35,24,30,21,26,24,33,41,36,9,21,65,5
11,12,48,38,12,21,20,15,9,19,29,14,10,7,21,15,10,14,8,9,6,12,10,4,7,10,6,2,11,4,5
27,42,157,178,23,33,99,90,61,59,163,37,43,37,79,57,66,70,43,38,33,31,22,24,28,50,33,7,17,15,5
8,15,24,24,9,3,8,24,10,15,22,8,13,3,9,27,24,10,5,7,7,2,3,7,4,9,10,0,8,4,5
31,28,94,92,11,29,24,54,17,40,65,20,32,16,30,30,36,30,26,27,15,34,17,8,19,27,24,13,16,24,5
22,31,127,145,24,27,84,47,43,54,108,36,34,21,62,67,101,50,31,27,17,34,10,40,26,21,27,32,13,23,5
2,26,69,80,23,20,40,23,13,31,56,12,34,15,23,23,21,28,13,9,26,21,15,8,16,27,17,5,17,10,5
17,21,53,61,12,9,33,17,7,34,39,13,42,6,31,34,42,21,13,11,6,22,9,7,18,15,5,12,9,15,5
3,15,44,34,6,10,15,23,15,17,42,21,16,10,16,18,17,16,9,2,9,5,8,3,6,13,7,1,14,16,5
17,21,78,78,26,16,42,38,22,33,70,13,21,5,34,27,17,24,24,7,9,11,26,13,11,24,16,2,14,2,5
3,2,15,15,3,2,11,8,2,8,8,3,1,1,4,9,4,3,7,1,2,3,0,6,1,6,3,1,3,2,5
20,13,87,80,13,15,23,30,26,30,57,16,21,11,25,20,18,41,19,14,5,22,9,5,10,13,20,5,13,22,5
31,52,172,171,42,78,87,81,70,76,162,91,57,40,70,76,82,91,44,23,40,43,52,37,51,52,32,37,37,29,5
21,23,55,69,20,18,26,24,25,38,67,13,27,15,26,29,33,29,25,30,7,35,23,15,22,12,13,17,11,16,5
12,19,55,60,5,6,45,28,13,26,66,24,26,10,55,18,26,26,22,14,5,5,2,7,10,15,14,12,10,29,5
6,9,88,78,12,18,28,35,16,18,79,12,14,8,34,16,10,24,23,16,12,4,9,8,12,16,8,5,9,9,5
12,35,79,89,20,20,36,67,24,30,86,19,35,6,39,25,42,55,39,8,25,22,11,16,10,27,26,3,10,9,5
4,2,22,18,8,2,12,13,3,7,13,4,9,3,9,4,7,11,2,0,9,2,1,2,2,6,4,2,1,1,5
7,22,75,87,29,27,53,55,35,42,56,21,35,18,41,49,53,49,20,16,14,22,18,17,25,24,23,4,12,9,5
13,24,72,73,20,9,35,32,27,32,72,17,38,16,44,51,42,42,11,7,14,13,10,17,21,14,13,0,14,3,5
4,4,33,34,7,16,11,12,11,10,36,14,10,15,20,7,12,17,7,7,7,9,8,7,6,2,9,11,5,14,5
8,8,20,14,8,2,7,3,5,16,17,4,5,3,3,6,11,8,8,2,5,15,2,2,6,4,9,10,7,7,5
4,7,14,28,1,6,8,9,3,3,20,2,3,0,8,1,4,6,5,2,8,1,0,2,7,1,2,1,1,0,5
16,44,132,158,38,57,89,71,35,68,153,39,38,44,71,68,84,37,31,21,26,18,29,20,33,47,37,27,15,31,5
17,26,55,74,22,56,41,34,23,36,63,22,23,28,31,31,27,22,15,7,16,21,17,15,23,19,23,1,15,5,5
8,22,34,30,8,7,14,34,13,23,46,14,20,4,12,28,30,17,13,4,7,4,9,3,4,18,16,2,2,6,5
9,14,40,37,3,14,10,24,14,17,38,14,15,10,9,13,13,7,10,8,10,7,8,3,9,13,10,4,7,4,4
2,6,24,30,2,5,5,12,5,7,25,14,3,2,3,6,6,9,1,0,4,2,2,2,2,4,0,0,2,1,4
16,46,204,177,34,39,68,35,44,56,138,51,57,26,77,60,56,56,38,29,20,44,19,15,28,31,40,27,14,34,4
2,8,18,21,3,4,8,22,5,16,20,3,8,3,8,13,12,11,6,4,7,4,9,4,7,7,5,9,2,4,4
41,75,203,162,65,65,90,87,82,79,193,56,67,55,100,109,109,77,43,22,43,47,40,32,47,41,33,33,38,26,4
5,29,55,86,23,32,40,40,29,46,80,20,38,30,46,45,41,39,24,24,30,18,26,21,19,24,7,7,3,17,4
14,14,42,44,10,7,24,28,18,26,43,9,15,4,11,17,15,12,14,12,9,10,5,20,15,7,9,7,10,26,4
16,49,71,97,20,33,42,78,38,55,89,34,54,47,45,35,61,55,12,21,48,23,20,21,33,25,17,22,35,22,4
8,11,27,29,5,9,15,17,10,24,36,19,9,8,18,24,33,22,15,4,12,15,7,8,9,9,12,5,11,14,4
6,36,36,45,17,16,23,31,13,35,39,12,53,17,23,27,25,22,18,10,18,16,14,19,19,6,8,18,19,22,4
16,48,86,105,17,25,42,42,31,59,87,18,52,11,32,45,45,53,20,43,19,38,21,33,39,32,15,25,7,19,4
11,42,116,136,13,17,50,63,20,46,104,11,31,11,42,40,41,37,20,28,21,3,22,11,17,8,24,0,16,27,4
7,3,16,7,1,5,5,5,1,3,4,1,0,2,1,2,1,3,8,0,3,0,0,1,3,3,5,1,1,0,4
29,85,210,256,64,80,155,110,53,125,232,79,104,83,147,89,108,95,50,44,60,63,55,41,27,42,56,23,26,62,4
21,39,95,142,19,63,52,42,33,44,124,36,43,60,63,50,40,47,31,19,23,33,20,26,33,20,31,24,19,21,4
28,28,131,167,35,67,57,83,50,74,144,33,31,50,67,53,48,88,33,11,39,21,43,30,28,41,16,7,25,11,4
0,12,16,11,3,8,7,17,7,7,9,9,11,1,4,8,12,8,6,2,6,9,2,1,4,9,4,0,2,2,4
17,67,156,189,47,68,71,130,43,97,153,48,75,48,67,59,62,76,68,45,53,32,38,33,42,58,51,7,22,45,4
16,53,127,175,26,20,60,91,58,69,135,52,48,30,52,50,51,66,57,21,33,26,19,24,27,37,17,2,32,29,4
17,47,133,197,31,44,80,97,51,97,180,41,42,38,97,83,114,63,38,38,38,39,23,47,20,22,28,43,24,38,4
3,28,39,45,1,4,17,22,14,18,44,9,39,3,20,20,23,13,14,5,6,5,4,10,7,9,24,7,23,8,4
16,41,100,137,29,55,46,47,57,65,141,44,57,47,52,64,51,42,34,29,38,42,44,25,41,38,22,20,18,27,4
7,9,37,48,14,14,24,23,17,22,46,27,10,15,27,26,22,19,28,9,5,39,6,13,17,17,25,19,7,12,4
19,20,56,127,14,23,48,55,31,50,86,27,40,22,40,43,47,48,23,21,26,27,16,31,32,23,22,21,13,23,4
32,141,349,456,130,115,172,201,91,169,396,142,148,131,167,114,108,188,133,67,223,127,73,90,101,73,173,57,150,97,4
2,5,18,21,2,13,21,12,6,6,13,4,3,14,5,8,7,13,3,2,6,6,10,3,1,5,3,3,5,1,4
6,13,77,80,18,36,41,39,18,30,64,21,24,30,38,61,29,21,10,22,14,25,22,30,22,14,30,27,10,22,4
3,26,52,56,12,15,35,31,21,33,49,15,36,11,32,32,23,33,18,19,11,11,13,17,30,18,15,9,9,23,4
3,9,25,19,7,6,16,15,12,15,23,9,9,5,14,4,6,7,2,8,3,4,3,7,3,5,2,0,2,8,4
24,35,144,141,22,33,66,36,27,59,141,23,48,17,70,53,54,45,34,21,19,43,14,12,26,14,44,23,19,49,4
18,69,132,187,49,81,97,75,139,76,170,59,69,78,67,73,45,102,35,6,46,35,46,26,35,26,27,40,28,49,4
27,33,160,167,38,55,79,61,49,87,158,47,43,48,75,64,87,73,45,36,24,36,30,35,36,43,30,44,25,41,4
24,38,103,144,57,99,92,125,88,98,116,47,56,65,91,95,81,92,51,39,69,59,46,33,48,54,27,27,35,53,4
14,37,101,113,40,61,53,40,47,38,101,42,27,41,59,46,51,60,69,9,46,58,39,22,25,13,12,16,26,20,4
5,10,28,21,3,2,6,26,10,15,31,10,7,2,10,13,12,16,12,4,4,3,0,3,4,11,10,0,4,2,4
6,18,60,71,27,27,47,41,22,22,66,19,21,33,33,21,25,30,18,17,32,21,23,20,15,18,17,12,37,15,4
7,12,43,50,5,7,14,32,7,24,41,15,12,4,15,26,21,13,12,1,8,1,3,12,8,11,6,0,6,11,4
7,25,52,48,25,20,23,60,27,48,59,20,21,21,42,22,28,24,21,16,19,12,24,26,16,25,14,8,14,10,4
22,100,214,261,71,100,111,166,83,150,233,74,133,86,126,131,113,130,79,47,62,73,64,50,64,96,92,19,45,83,4
10,68,85,154,25,43,49,72,66,73,127,35,77,30,39,84,72,97,37,34,45,41,41,41,53,23,36,25,38,35,4
15,17,67,56,14,18,12,20,24,21,45,20,22,13,10,34,41,25,22,6,8,16,12,9,17,10,7,10,13,22,4
3,27,62,82,8,10,37,21,21,21,61,21,29,3,16,28,28,23,30,5,9,9,5,8,15,17,10,6,13,20,4
9,15,69,85,25,18,26,24,18,26,95,27,27,12,20,20,25,23,22,10,10,20,11,12,13,13,12,17,22,7,4
9,21,47,62,13,11,16,27,13,29,58,8,22,4,22,16,21,27,17,6,9,20,7,8,12,13,12,13,5,16,4
33,60,198,279,93,122,134,109,55,95,241,123,62,95,142,134,99,110,78,36,75,133,69,71,84,68,75,54,96,84,4
28,91,220,307,63,101,149,145,89,116,265,97,86,97,170,83,98,113,91,42,66,45,75,51,60,67,67,15,50,80,4
26,85,152,232,78,105,114,95,56,124,188,71,99,85,110,105,85,135,33,36,59,53,54,63,56,53,59,23,46,46,4
3,6,24,41,6,29,19,9,8,14,37,22,4,18,16,13,11,12,6,5,8,5,2,5,6,0,3,10,6,13,4
13,14,41,31,9,2,23,22,11,4,22,15,18,0,23,24,16,18,11,3,5,2,3,4,4,17,10,0,11,4,4
34,101,339,434,63,82,188,147,71,129,368,71,108,51,182,143,145,115,70,87,66,91,42,65,67,102,69,15,33,82,4
28,67,135,154,27,52,76,102,82,76,151,44,70,35,74,93,78,83,44,23,36,26,20,31,44,65,61,12,40,60,4
18,34,97,93,11,8,36,64,29,49,89,20,37,3,29,62,43,30,34,9,13,11,16,15,13,34,23,0,7,18,4
11,46,119,205,35,57,62,101,26,32,133,48,53,31,64,42,37,50,35,57,25,18,13,25,14,16,27,16,14,22,4
1,15,39,44,13,18,43,28,16,22,45,15,12,17,38,33,24,23,12,7,7,17,18,1,13,20,25,12,6,26,4
6,14,40,54,11,15,47,42,36,22,54,10,13,16,33,22,23,29,15,15,14,13,14,15,20,21,9,2,6,28,4
47,47,265,263,38,57,118,84,88,102,273,58,55,49,131,94,99,102,60,52,48,28,51,58,50,84,36,33,37,41,4
12,14,88,109,24,24,44,26,18,26,90,21,10,21,36,42,32,28,21,10,11,19,7,10,16,11,13,9,10,17,4
0,1,0,1,0,0,1,0,1,1,1,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4
10,26,50,67,6,13,35,27,20,27,70,26,26,8,26,38,36,17,15,8,6,17,8,5,10,23,10,4,14,3,4
1,1,2,3,1,0,0,0,2,1,7,1,1,0,1,0,2,1,0,0,1,0,0,1,0,2,0,0,0,0,4
6,21,54,58,10,19,23,35,22,21,50,8,18,11,25,16,15,36,13,28,26,17,8,16,9,13,7,5,2,5,4
30,38,192,182,37,107,132,107,67,97,180,56,53,90,131,80,80,73,32,16,64,61,74,46,52,35,31,18,13,27,4
0,9,18,18,2,6,6,18,7,5,16,10,6,6,8,15,18,9,10,6,8,3,7,1,7,8,8,1,1,4,4
30,36,129,123,39,18,61,69,34,67,114,27,47,26,69,66,70,62,30,34,25,36,31,45,25,53,31,13,16,21,4
0,4,31,28,2,3,11,4,17,9,21,7,14,1,8,8,7,14,17,4,1,4,2,4,4,0,5,2,1,8,4
2,4,9,12,0,9,5,4,2,3,6,2,5,1,7,2,8,5,2,6,1,1,2,1,4,1,2,2,1,1,4
6,3,30,31,4,6,11,6,11,4,30,7,7,4,13,13,10,6,2,2,8,5,5,0,8,3,3,6,7,6,4
8,10,37,43,11,3,12,18,5,9,42,9,17,9,12,13,12,12,11,5,13,3,7,8,8,14,7,0,6,1,4
4,20,52,61,14,10,23,27,11,27,42,13,26,8,24,35,30,25,30,14,22,15,7,5,23,22,13,12,12,8,4
13,36,121,122,19,31,66,42,43,67,111,31,52,17,52,68,83,48,79,19,29,52,16,16,48,27,38,43,24,84,4
3,15,26,30,14,12,21,19,13,31,17,7,12,16,17,20,14,21,3,5,7,12,10,9,10,14,9,12,12,20,4
7,41,59,91,25,53,69,54,22,58,82,16,37,31,57,54,62,46,16,20,21,24,22,26,22,32,31,16,12,19,4
4,11,19,32,6,4,10,17,6,9,25,2,13,2,5,10,15,12,4,4,8,14,5,4,7,8,11,11,6,10,4
10,16,82,91,24,43,28,27,12,29,81,32,25,49,24,26,32,27,45,6,22,18,17,6,12,13,14,11,22,7,4
17,63,185,208,55,128,92,97,74,94,187,55,65,78,77,100,82,102,53,45,48,33,62,18,43,54,48,11,27,25,4
0,3,11,9,0,2,7,6,4,3,12,5,3,7,3,4,2,4,2,0,0,0,4,0,5,6,5,1,3,2,4
1,11,28,38,4,18,21,23,16,12,23,12,24,12,14,15,18,16,7,2,7,4,21,5,5,6,8,1,10,6,4
36,44,216,229,43,44,94,107,59,113,193,54,71,24,86,125,125,100,45,53,40,132,46,63,66,58,49,18,46,47,4
8,31,59,58,6,9,30,18,17,19,67,21,27,5,23,25,20,22,14,6,9,17,4,11,8,14,8,10,9,16,4
17,40,103,101,22,22,35,32,50,67,113,14,50,13,40,68,73,55,50,17,25,41,10,16,32,26,44,40,23,48,4
2,2,8,3,0,3,2,4,0,4,5,2,5,7,2,3,4,3,1,2,1,0,0,0,5,1,5,1,0,3,4
11,39,152,184,44,60,81,89,54,61,152,26,52,53,70,65,59,56,35,29,43,22,28,15,22,34,23,3,15,12,4
24,72,164,283,85,146,118,120,70,89,207,85,78,127,119,87,95,107,42,42,46,91,69,77,64,43,37,30,45,56,4
1,2,20,11,5,0,7,4,3,1,12,1,2,2,6,5,2,1,1,1,2,9,1,2,3,2,4,6,1,2,4
21,41,184,169,36,46,82,102,41,55,185,62,53,36,90,73,58,63,74,25,33,23,24,31,21,52,30,4,30,8,4
10,14,49,45,8,4,14,15,20,12,39,3,19,4,12,16,12,14,20,6,10,18,8,8,14,7,24,8,8,14,4
44,91,316,366,50,65,125,119,97,141,308,63,108,59,119,121,118,114,85,49,45,64,39,50,55,72,77,53,52,73,4
3,13,43,23,7,5,11,31,10,14,19,15,17,2,7,23,24,14,20,8,3,8,7,6,6,11,8,1,2,2,4
6,16,47,57,9,4,17,16,19,25,44,8,17,6,20,20,25,27,8,8,6,20,4,8,17,11,11,17,2,34,4
1,5,28,19,5,4,4,4,5,8,28,7,3,3,12,7,9,4,6,3,0,4,1,2,5,7,4,2,2,4,4
17,27,103,100,35,37,40,73,46,65,105,27,26,24,57,54,55,69,26,22,15,19,24,11,20,31,27,11,17,19,4
31,35,160,171,34,38,75,72,58,71,150,25,41,40,76,64,82,89,35,41,33,31,47,42,33,60,37,31,18,34,4
11,35,141,152,25,63,52,90,30,54,139,52,38,53,50,49,55,52,35,16,27,25,19,15,25,47,17,1,24,11,4
15,22,78,93,19,30,41,40,30,24,74,28,34,17,55,37,35,35,22,17,12,23,8,14,21,14,19,3,19,21,4
27,53,170,163,29,27,71,59,61,82,142,22,46,37,83,90,76,72,53,44,29,40,34,27,33,45,34,35,20,64,4
23,49,200,221,72,42,130,67,59,79,217,39,52,41,105,83,79,88,45,32,40,40,39,36,53,48,42,53,51,57,4
7,12,45,62,5,5,19,37,7,25,57,3,17,2,14,18,23,11,8,8,5,8,2,8,9,5,9,1,8,7,4
17,47,107,109,47,108,60,47,40,62,83,67,44,73,66,88,65,69,52,20,32,35,57,30,40,12,13,16,25,15,4
7,22,59,78,11,9,27,29,11,23,69,16,26,5,28,31,33,14,18,11,10,16,4,12,6,19,7,2,11,13,4
30,65,155,166,52,47,69,79,57,93,153,55,67,54,60,97,101,109,28,25,37,37,37,32,41,44,27,29,34,25,4
6,8,27,43,8,8,16,19,15,24,39,6,10,5,26,18,19,11,7,7,12,23,3,7,10,5,5,5,5,4,3
0,2,3,2,2,1,1,4,6,0,4,0,1,2,4,3,3,3,4,1,0,0,1,1,2,5,1,0,1,1,3
7,12,30,36,30,12,16,16,8,32,31,17,11,14,17,21,24,4,4,4,10,12,24,10,13,6,5,9,6,13,3
15,16,49,56,14,19,22,27,12,19,50,15,16,42,20,22,19,27,15,15,5,21,16,11,13,29,21,6,12,7,3
18,41,101,143,43,69,36,53,40,53,112,52,49,39,36,26,31,47,26,17,43,29,28,31,21,10,23,38,28,36,3
3,0,1,8,0,0,1,5,0,2,3,3,0,0,3,3,2,2,4,1,1,1,0,0,0,1,1,0,0,0,3
5,1,15,14,2,1,2,7,7,4,6,4,4,1,0,3,2,4,0,2,0,2,0,1,2,1,1,0,2,0,3
8,4,36,25,8,3,10,11,3,7,28,7,0,0,16,11,11,1,7,4,7,1,5,9,5,5,6,4,5,9,3
10,20,89,96,17,13,36,39,16,26,105,15,19,15,50,41,18,21,13,8,18,16,17,15,13,18,16,3,8,14,3
9,29,78,83,24,25,44,38,22,46,64,27,34,32,47,47,56,28,12,17,29,25,33,25,17,22,11,11,10,7,3
1,0,23,19,4,1,5,3,2,2,15,3,7,0,13,3,4,4,3,1,4,3,3,2,2,1,4,1,0,2,3
12,62,62,126,33,51,44,44,13,47,78,48,73,38,46,36,53,42,15,19,36,31,29,41,30,15,48,26,27,35,3
1,5,23,32,4,6,11,12,6,9,21,3,16,2,12,4,5,11,18,7,4,7,2,4,2,10,5,1,6,3,3
8,28,80,62,17,28,48,47,27,36,58,27,36,28,44,35,28,33,22,24,25,11,15,13,19,17,19,11,22,15,3
6,17,40,59,11,17,20,29,8,14,45,13,18,6,11,12,11,15,11,19,6,4,10,6,5,15,9,3,5,8,3
2,3,9,7,0,0,1,2,1,3,6,1,5,0,1,7,5,4,0,2,0,2,1,4,2,1,4,0,0,0,3
6,17,59,54,8,14,27,35,11,26,44,14,17,9,22,33,24,18,14,6,7,7,12,9,7,16,12,1,11,17,3
2,9,29,24,4,2,11,10,4,7,24,5,2,1,15,12,10,7,5,4,1,3,4,3,5,6,4,0,2,6,3
4,9,27,33,14,8,16,7,10,6,31,7,3,9,23,10,11,14,6,0,7,3,13,1,7,12,3,4,2,3,3
11,9,72,63,15,17,26,51,21,30,60,20,14,13,26,28,39,23,17,15,16,6,8,11,8,21,21,4,9,9,3
27,81,114,148,32,61,62,74,49,68,133,69,87,38,57,42,67,45,62,47,29,58,46,37,41,39,86,50,70,29,3
14,11,42,41,6,16,26,18,28,24,46,13,14,22,20,23,22,23,10,6,12,22,9,10,14,16,9,23,4,8,3
10,10,39,38,3,4,10,12,9,17,24,5,7,8,8,14,13,12,13,2,9,3,3,6,7,18,8,1,7,3,3
5,8,20,30,2,8,11,11,6,14,29,7,9,5,9,4,7,1,3,2,6,4,4,4,5,3,8,7,4,10,3
13,32,113,153,41,52,75,81,55,55,145,36,47,39,78,78,53,66,16,29,23,40,53,23,49,39,40,18,28,22,3
1,4,9,4,3,9,3,0,5,1,10,3,0,2,8,0,1,3,5,0,1,1,2,1,7,1,2,1,0,2,3
1,7,21,21,5,7,12,7,6,5,16,3,4,7,17,8,10,3,3,3,1,4,6,2,5,3,2,0,1,2,3
4,19,23,17,12,12,9,27,10,6,25,16,17,5,5,8,15,5,6,0,3,5,12,1,7,12,13,1,8,5,3
4,4,15,14,4,6,10,11,4,9,16,7,4,3,4,6,2,6,3,2,5,4,3,4,3,4,6,1,3,5,3
1,4,2,17,8,3,6,3,5,7,13,4,3,0,7,17,6,3,7,5,4,2,4,9,6,7,1,1,4,5,3
13,54,138,163,56,62,77,117,54,76,158,70,70,56,69,73,71,64,61,37,33,31,33,48,39,39,45,11,24,31,3
11,32,83,92,34,42,30,52,22,30,91,32,33,34,39,37,45,19,27,25,26,12,29,23,20,22,15,2,10,9,3
18,22,66,72,8,26,16,26,22,24,74,20,9,14,17,25,25,27,14,9,11,7,8,9,16,15,18,5,18,13,3
7,17,33,42,23,7,21,15,11,11,44,6,25,10,15,6,7,14,12,11,1,18,16,8,9,5,16,9,8,18,3
4,6,13,25,3,4,12,11,8,13,18,5,10,3,5,7,11,6,11,2,6,5,0,9,11,6,6,3,4,4,3
5,7,19,24,10,5,14,11,6,15,19,5,11,24,5,7,9,11,2,6,20,1,19,14,10,4,7,2,8,5,3
0,16,17,20,1,1,4,10,1,10,18,4,7,2,5,7,6,5,9,1,3,2,2,0,4,8,5,2,3,0,3
0,4,15,8,1,4,7,6,5,5,11,5,5,0,8,4,6,7,6,1,5,0,0,1,2,9,1,0,1,2,3
4,26,40,28,21,38,19,28,21,40,28,15,41,35,25,28,45,28,18,5,30,21,17,7,20,13,7,3,14,10,3
9,8,42,38,14,19,15,13,12,8,43,11,15,14,17,18,12,13,17,8,8,9,8,3,5,11,8,1,4,3,3
1,2,9,7,4,1,4,7,5,2,3,7,1,0,2,2,6,7,3,2,1,1,1,1,3,6,2,1,0,2,3
1,6,7,8,2,3,5,7,4,10,9,4,3,5,12,6,9,6,4,3,3,4,9,1,3,7,5,2,4,4,3
28,60,177,213,22,31,47,107,68,53,181,61,72,27,50,51,48,84,51,31,35,52,18,30,20,58,49,2,33,14,3
0,3,17,3,4,2,1,2,4,5,8,1,0,0,4,4,3,5,6,2,1,2,2,1,8,1,4,0,2,4,3
12,14,51,75,16,18,35,36,20,30,62,11,7,13,30,30,24,14,8,10,25,20,15,27,22,22,19,17,14,21,3
5,3,30,36,2,3,16,9,8,15,20,4,1,2,8,9,13,13,6,5,1,3,2,6,8,4,8,4,2,7,3
